timestamp,value
2025-07-09T18:09:06.088384,123
2025-07-09T18:09:13.100789,123
2025-07-09T18:09:20.106262,123
2025-07-09T18:09:27.108811,123
2025-07-09T18:09:34.115109,123
2025-07-09T18:09:41.117961,123
2025-07-09T18:09:48.131975,123
2025-07-09T18:09:55.148582,123
2025-07-09T18:10:02.152726,123
2025-07-09T18:10:09.159887,123
2025-07-09T18:10:16.167984,123
2025-07-09T18:10:23.176879,123
2025-07-09T18:10:30.188461,123
2025-07-09T18:10:37.201999,123
2025-07-09T18:10:44.213364,123
2025-07-09T18:10:51.217975,123
2025-07-09T18:10:58.222349,123
2025-07-09T18:11:05.228347,123
2025-07-09T18:11:12.239728,123
2025-07-09T18:11:19.250087,123
2025-07-09T18:11:26.257878,123
2025-07-09T18:11:33.264930,123
2025-07-09T18:11:40.271194,123
2025-07-09T18:11:47.278297,123
2025-07-09T18:11:54.283596,123
2025-07-09T18:12:01.286595,123
2025-07-09T18:12:08.292914,123
2025-07-09T18:12:15.307591,123
2025-07-09T18:12:22.318171,123
2025-07-09T18:12:29.326802,123
2025-07-09T18:12:36.337836,123
2025-07-09T18:12:43.343242,123
2025-07-09T18:12:50.354333,123
2025-07-09T18:12:57.360840,123
2025-07-09T18:13:04.369166,123
2025-07-09T18:13:11.373393,123
2025-07-09T18:13:18.384900,123
2025-07-09T18:13:25.392470,123
2025-07-09T18:13:32.407761,123
